,InstanceType,MaximumNetworkInterfaces
575,Standard_EC32as_v5,8
576,Standard_EC48ads_v5,8
577,Standard_EC48as_cc_v5,8
578,Standard_EC48as_v5,8
579,Standard_EC4ads_cc_v5,4
580,Standard_EC4ads_v5,2
581,Standard_EC4as_cc_v5,4
582,Standard_EC4as_v5,2
583,Standard_EC64ads_v5,8
584,Standard_EC64as_cc_v5,8
585,Standard_EC64as_v5,8
586,Standard_EC8ads_v5,4
587,Standard_EC8as_cc_v5,8
588,Standard_EC8as_v5,4
589,Standard_EC96ads_v5,8
590,Standard_EC96as_cc_v5,8
591,Standard_EC96as_v5,8
592,Standard_EC96iads_v5,8
593,Standard_EC96ias_v5,8
594,Standard_F1,2
595,Standard_F16,8
596,Standard_F16s,8
597,Standard_F16s_v2,4
598,Standard_F1s,2
599,Standard_F2,2
600,Standard_F2s,2
601,Standard_F2s_v2,2
602,Standard_F32s_v2,8
603,Standard_F4,4
604,Standard_F48s_v2,8
605,Standard_F4s,4
606,Standard_F4s_v2,2
607,Standard_F64s_v2,8
608,Standard_F72s_v2,8
609,Standard_F8,8
610,Standard_F8s,8
611,Standard_F8s_v2,4
612,Standard_FX12mds,4
613,Standard_FX24mds,4
614,Standard_FX36mds,8
615,Standard_FX48mds,8
616,Standard_FX4mds,2
617,Standard_G1,2
618,Standard_G2,2
619,Standard_G3,4
620,Standard_G4,8
621,Standard_HB120-16rs_v2,8
622,Standard_HB120-16rs_v3,8
623,Standard_HB120-32rs_v2,8
624,Standard_HB120-32rs_v3,8
625,Standard_HB120-64rs_v2,8
626,Standard_HB120-64rs_v3,8
627,Standard_HB120-96rs_v2,8
628,Standard_HB120-96rs_v3,8
629,Standard_HB120rs_v2,8
630,Standard_HB120rs_v3,8
631,Standard_HB176-144rs_v4,8
632,Standard_HB176-24rs_v4,8
633,Standard_HB176-48rs_v4,8
634,Standard_HB176-96rs_v4,8
635,Standard_HB176rs_v4,8
636,Standard_HB60-15rs,8
637,Standard_HB60-30rs,8
638,Standard_HB60-45rs,8
639,Standard_HB60rs,8
640,Standard_HC44-16rs,8
641,Standard_HC44-32rs,8
642,Standard_HC44rs,8
643,Standard_HX176-144rs,8
644,Standard_HX176-24rs,8
645,Standard_HX176-48rs,8
646,Standard_HX176-96rs,8
647,Standard_HX176rs,8
648,Standard_L16as_v3,8
649,Standard_L16s_v2,4
650,Standard_L16s_v3,8
651,Standard_L32as_v3,8
652,Standard_L32s_v2,8
653,Standard_L32s_v3,8
654,Standard_L48as_v3,8
655,Standard_L48s_v2,8
656,Standard_L48s_v3,8
657,Standard_L64as_v3,8
658,Standard_L64s_v2,8
659,Standard_L64s_v3,8
660,Standard_L80as_v3,8
661,Standard_L80s_v2,8
662,Standard_L80s_v3,8
663,Standard_L8as_v3,4
664,Standard_L8s_v2,2
665,Standard_L8s_v3,4
666,Standard_M128,8
667,Standard_M128-32ms,8
668,Standard_M128-64ms,8
669,Standard_M128dms_v2,8
670,Standard_M128ds_v2,8
671,Standard_M128m,8
672,Standard_M128ms,8
673,Standard_M128ms_v2,8
674,Standard_M128s,8
675,Standard_M128s_v2,8
676,Standard_M12ds_v3,4
677,Standard_M12s_v3,4
678,Standard_M16-4ms,2
679,Standard_M16-8ms,2
