,AvailabilityZone,InstanceType,MaximumNetworkInterfaces,SpotPrice,PricePerInterface,Timestamp
155,us-east-1b,g5.16xlarge,8,1.6794,0.2143,2024-01-26 17:02:49+00:00
156,us-east-1f,c6id.8xlarge,8,0.7426,0.09720000000000001,2024-01-26 17:02:49+00:00
157,us-east-1d,g5g.xlarge,4,0.1884,0.050850000000000006,2024-01-26 17:02:47+00:00
158,us-east-1f,r7gd.12xlarge,8,1.3683,0.1754125,2024-01-26 17:02:45+00:00
159,us-east-1c,x2iedn.xlarge,4,0.3128,0.08195000000000001,2024-01-26 17:02:43+00:00
160,us-east-1a,m5ad.2xlarge,4,0.2836,0.07465000000000001,2024-01-26 17:02:42+00:00
161,us-east-1c,m5d.8xlarge,8,0.9382,0.12165000000000001,2024-01-26 17:02:41+00:00
162,us-east-1b,m7gd.16xlarge,15,1.5389,0.10726,2024-01-26 17:02:41+00:00
163,us-east-1f,c6a.12xlarge,8,0.8335,0.1085625,2024-01-26 17:02:41+00:00
164,us-east-1d,m2.xlarge,4,0.1122,0.031799999999999995,2024-01-26 17:02:41+00:00
165,us-east-1b,r7iz.metal-16xl,15,3.0651,0.20900666666666667,2024-01-26 17:02:40+00:00
166,us-east-1c,r6a.8xlarge,8,0.7737,0.10108750000000001,2024-01-26 17:02:39+00:00
167,us-east-1f,c6gd.12xlarge,8,0.8936,0.116075,2024-01-26 17:02:37+00:00
168,us-east-1f,r7a.24xlarge,15,2.852,0.19479999999999997,2024-01-26 17:02:36+00:00
169,us-east-1a,r7a.24xlarge,15,3.7112,0.25207999999999997,2024-01-26 17:02:36+00:00
170,us-east-1f,c5ad.12xlarge,8,1.0131,0.13101249999999998,2024-01-26 17:02:35+00:00
171,us-east-1f,t3a.xlarge,4,0.0673,0.020575,2024-01-26 17:02:35+00:00
172,us-east-1b,x2iedn.8xlarge,8,3.0484,0.385425,2024-01-26 17:02:35+00:00
173,us-east-1f,m5dn.16xlarge,15,1.832,0.1268,2024-01-26 17:02:34+00:00
174,us-east-1c,r5dn.metal,15,3.8918,0.26411999999999997,2024-01-26 17:02:34+00:00
175,us-east-1c,c7i.8xlarge,8,0.6584,0.086675,2024-01-26 17:02:33+00:00
176,us-east-1c,c7i.24xlarge,15,2.259,0.15526666666666664,2024-01-26 17:02:33+00:00
177,us-east-1a,r5.metal,15,2.561,0.17539999999999997,2024-01-26 17:02:33+00:00
178,us-east-1c,m6in.metal,14,3.3952,0.24715714285714285,2024-01-26 17:02:31+00:00
179,us-east-1c,m6gd.12xlarge,8,0.9676,0.125325,2024-01-26 17:02:31+00:00
180,us-east-1b,m5zn.large,3,0.0732,0.027733333333333332,2024-01-26 17:02:29+00:00
181,us-east-1d,r6i.12xlarge,8,1.317,0.16899999999999998,2024-01-26 17:02:28+00:00
182,us-east-1d,x2iezn.6xlarge,8,2.0988,0.26672500000000005,2024-01-26 17:02:28+00:00
183,us-east-1a,c5ad.4xlarge,8,0.3161,0.043887499999999996,2024-01-26 17:02:27+00:00
184,us-east-1a,r6gd.medium,2,0.0315,0.01825,2024-01-26 17:02:26+00:00
185,us-east-1d,r6i.8xlarge,8,0.9865,0.1276875,2024-01-26 17:02:26+00:00
186,us-east-1c,r5ad.8xlarge,8,0.9406,0.12195,2024-01-26 17:02:25+00:00
187,us-east-1a,m7i-flex.8xlarge,8,0.8786,0.11420000000000001,2024-01-26 17:02:25+00:00
188,us-east-1b,c5ad.2xlarge,4,0.208,0.055749999999999994,2024-01-26 17:02:24+00:00
189,us-east-1d,t3a.large,3,0.0302,0.0134,2024-01-26 17:02:24+00:00
190,us-east-1d,r6g.xlarge,4,0.0794,0.0236,2024-01-26 17:02:24+00:00
191,us-east-1c,c6gn.16xlarge,15,1.1285,0.07990000000000001,2024-01-26 17:02:23+00:00
192,us-east-1e,i3.8xlarge,8,1.0186,0.13169999999999998,2024-01-26 17:02:21+00:00
193,us-east-1d,r5d.large,3,0.0665,0.0255,2024-01-26 17:02:21+00:00
194,us-east-1a,i4g.4xlarge,8,0.478,0.064125,2024-01-26 17:02:21+00:00
195,us-east-1b,m7i.4xlarge,8,0.408,0.055374999999999994,2024-01-26 17:02:20+00:00
196,us-east-1f,i3en.12xlarge,8,2.0896,0.265575,2024-01-26 17:02:20+00:00
197,us-east-1f,x2idn.16xlarge,15,2.8344,0.19362666666666667,2024-01-26 17:02:20+00:00
198,us-east-1d,x2idn.16xlarge,15,2.6274,0.17982666666666666,2024-01-26 17:02:20+00:00
