,Unnamed: 0,AvailabilityZone,InstanceType,MaximumNetworkInterfaces,SpotPrice,PricePerInterface,Timestamp,Provider
197,197,US East,NC12s v2 Spot,1,0.414,0.414,2023-04-01 00:00:00+00:00,Azure
1329,1329,US East,HB60-30rs Spot,1,0.228,0.228,2023-05-01 00:00:00+00:00,Azure
239,239,US East,HB60-45rs Spot,1,0.228,0.228,2023-05-01 00:00:00+00:00,Azure
1720,1720,US East,HC44-16rs Spot,1,0.3168,0.3168,2023-05-01 00:00:00+00:00,Azure
493,493,US East,HC44rs Spot,1,0.3168,0.3168,2023-05-01 00:00:00+00:00,Azure
490,490,US East,HB60rs Spot,1,0.228,0.228,2023-05-01 00:00:00+00:00,Azure
744,744,US East,HC44-32rs Spot,1,0.3168,0.3168,2023-05-01 00:00:00+00:00,Azure
56,56,US East,HB60-15rs Spot,1,0.228,0.228,2023-05-01 00:00:00+00:00,Azure
416,416,US East,Standard_D32ps_v5 Spot,8,0.1232,0.0554,2023-06-01 00:00:00+00:00,Azure
188,188,US East,Standard_D16ps_v5 Spot,4,0.0616,0.0354,2023-06-01 00:00:00+00:00,Azure
1556,1556,US East,Standard_D8plds_v5 Spot,4,0.0307,0.027675,2023-06-01 00:00:00+00:00,Azure
200,200,US East,Standard_D4pls_v5 Spot,2,0.0136,0.0168,2023-06-01 00:00:00+00:00,Azure
665,665,US East,Standard_E32pds_v5 Spot,8,0.1843,0.0630375,2023-06-01 00:00:00+00:00,Azure
1580,1580,US East,Standard_D48plds_v5 Spot,8,0.1843,0.0630375,2023-06-01 00:00:00+00:00,Azure
1123,1123,US East,Standard_D4plds_v5 Spot,2,0.0154,0.0177,2023-06-01 00:00:00+00:00,Azure
1116,1116,US East,Standard_D8pds_v5 Spot,4,0.0362,0.02905,2023-06-01 00:00:00+00:00,Azure
1672,1672,US East,Standard_D8ps_v5 Spot,4,0.0308,0.0277,2023-06-01 00:00:00+00:00,Azure
858,858,US East,Standard_D48ps_v5 Spot,8,0.1848,0.0631,2023-06-01 00:00:00+00:00,Azure
878,878,US East,Standard_E8ps_v5 Spot,4,0.0403,0.030075,2023-06-01 00:00:00+00:00,Azure
479,479,US East,Standard_D32plds_v5 Spot,8,0.1229,0.0553625,2023-06-01 00:00:00+00:00,Azure
902,902,US East,Standard_D32pls_v5 Spot,8,0.1088,0.0536,2023-06-01 00:00:00+00:00,Azure
472,472,US East,Standard_E4ps_v5 Spot,2,0.0202,0.0201,2023-06-01 00:00:00+00:00,Azure
494,494,US East,Standard_D16pls_v5 Spot,4,0.0544,0.0336,2023-06-01 00:00:00+00:00,Azure
16,16,US East,Standard_E4pds_v5 Spot,2,0.023,0.0215,2023-06-01 00:00:00+00:00,Azure
1472,1472,US East,Standard_D64ps_v5 Spot,8,0.2464,0.0708,2023-06-01 00:00:00+00:00,Azure
466,466,US East,Standard_D2plds_v5 Spot,2,0.00768,0.01384,2023-06-01 00:00:00+00:00,Azure
791,791,US East,Standard_D48pds_v5 Spot,8,0.217,0.067125,2023-06-01 00:00:00+00:00,Azure
1106,1106,US East,Standard_D4pds_v5 Spot,2,0.0181,0.01905,2023-06-01 00:00:00+00:00,Azure
945,945,US East,Standard_E2ps_v5 Spot,2,0.0101,0.01505,2023-06-01 00:00:00+00:00,Azure
729,729,US East,Standard_D64pds_v5 Spot,8,0.2893,0.0761625,2023-06-01 00:00:00+00:00,Azure
5,5,US East,Standard_D64pls_v5 Spot,8,0.2176,0.0672,2023-06-01 00:00:00+00:00,Azure
1476,1476,US East,Standard_E2pds_v5 Spot,2,0.0115,0.01575,2023-06-01 00:00:00+00:00,Azure
850,850,US East,Standard_D2pds_v5 Spot,2,0.00904,0.01452,2023-06-01 00:00:00+00:00,Azure
1042,1042,US East,Standard_D16plds_v5 Spot,4,0.0614,0.03535,2023-06-01 00:00:00+00:00,Azure
1663,1663,US East,Standard_D8pls_v5 Spot,4,0.0272,0.0268,2023-06-01 00:00:00+00:00,Azure
506,506,US East,Standard_E8pds_v5 Spot,4,0.0461,0.031525,2023-06-01 00:00:00+00:00,Azure
1658,1658,US East,Standard_D2ps_v5 Spot,2,0.0077,0.01385,2023-06-01 00:00:00+00:00,Azure
351,351,US East,Standard_D2pls_v5 Spot,2,0.0068,0.0134,2023-06-01 00:00:00+00:00,Azure
714,714,US East,Standard_D16pds_v5 Spot,4,0.0723,0.038075,2023-06-01 00:00:00+00:00,Azure
1275,1275,US East,Standard_E32ps_v5 Spot,8,0.1613,0.0601625,2023-06-01 00:00:00+00:00,Azure
1647,1647,US East,Standard_E16ps_v5 Spot,4,0.0806,0.04015,2023-06-01 00:00:00+00:00,Azure
99,99,US East,Standard_D32pds_v5 Spot,8,0.1446,0.058075,2023-06-01 00:00:00+00:00,Azure
1048,1048,US East,Standard_D4ps_v5 Spot,2,0.0154,0.0177,2023-06-01 00:00:00+00:00,Azure
131,131,US East,Standard_E16pds_v5 Spot,4,0.0922,0.04305,2023-06-01 00:00:00+00:00,Azure
1073,1073,US East,Standard_E20ps_v5 Spot,8,0.1008,0.0526,2023-06-01 00:00:00+00:00,Azure
1544,1544,US East,Standard_D64plds_v5 Spot,8,0.2458,0.070725,2023-06-01 00:00:00+00:00,Azure
143,143,US East,Standard_D48pls_v5 Spot,8,0.1632,0.0604,2023-06-01 00:00:00+00:00,Azure
149,149,US East,Standard_E20pds_v5 Spot,8,0.1152,0.0544,2023-06-01 00:00:00+00:00,Azure
1427,1427,US East,Standard_FX4mds Spot,2,0.037349,0.0286745,2023-07-01 00:00:00+00:00,Azure
396,396,US East,HB120-16rs_v3 Spot,1,0.36,0.36,2023-07-01 00:00:00+00:00,Azure
1563,1563,US East,H8m Spot,1,0.33699,0.33699,2023-07-01 00:00:00+00:00,Azure
287,287,US East,Standard_FX36mds Spot,8,0.336139,0.082017375,2023-07-01 00:00:00+00:00,Azure
286,286,US East,NC24rs v2 Spot,1,1.106974,1.106974,2023-07-01 00:00:00+00:00,Azure
1328,1328,US East,H16 Spot,1,0.503047,0.503047,2023-07-01 00:00:00+00:00,Azure
261,261,US East,Standard_L48as_v3 Spot,8,0.3744,0.0868,2023-07-01 00:00:00+00:00,Azure
1561,1561,US East,H16m Spot,1,0.673837,0.673837,2023-07-01 00:00:00+00:00,Azure
1520,1520,US East,Standard_L64as_v3 Spot,8,0.4992,0.1023999999999999,2023-07-01 00:00:00+00:00,Azure
247,247,US East,PB24s Spot,1,0.486198,0.486198,2023-07-01 00:00:00+00:00,Azure
367,367,US East,Standard_HB120-64rs_v2 Spot,8,0.36,0.0849999999999999,2023-07-01 00:00:00+00:00,Azure
1195,1195,US East,Standard_L8as_v3 Spot,4,0.0624,0.0356,2023-07-01 00:00:00+00:00,Azure
1455,1455,US East,Standard_L32as_v3 Spot,8,0.2496,0.0712,2023-07-01 00:00:00+00:00,Azure
947,947,US East,Standard_FX24mds Spot,4,0.224093,0.07602325,2023-07-01 00:00:00+00:00,Azure
1037,1037,US East,Standard_L80as_v3 Spot,8,0.624,0.118,2023-07-01 00:00:00+00:00,Azure
710,710,US East,Standard_FX12mds Spot,4,0.112046,0.0480115,2023-07-01 00:00:00+00:00,Azure
130,130,US East,HB120-64rs_v3 Spot,1,0.36,0.36,2023-07-01 00:00:00+00:00,Azure
890,890,US East,H16mr Spot,1,0.741235,0.741235,2023-07-01 00:00:00+00:00,Azure
1654,1654,US East,HB120rs v2 Spot,1,0.36,0.36,2023-07-01 00:00:00+00:00,Azure
871,871,US East,NC6s v2 Spot,1,0.251544,0.251544,2023-07-01 00:00:00+00:00,Azure
450,450,US East,Standard_FX48mds Spot,8,0.448186,0.09602325,2023-07-01 00:00:00+00:00,Azure
805,805,US East,Standard_HB120-16rs_v2 Spot,8,0.36,0.0849999999999999,2023-07-01 00:00:00+00:00,Azure
555,555,US East,Standard_L16as_v3 Spot,8,0.1248,0.0556,2023-07-01 00:00:00+00:00,Azure
425,425,US East,Standard_HB120-32rs_v2 Spot,8,0.36,0.0849999999999999,2023-07-01 00:00:00+00:00,Azure
896,896,US East,NC24s v2 Spot,1,1.006175,1.006175,2023-07-01 00:00:00+00:00,Azure
