,AvailabilityZone,InstanceType,MaximumNetworkInterfaces,SpotPrice,PricePerInterface,Timestamp
156,US East,D1 v2 Spot,1,0.020513,0.020513,2024-01-01T00:00:00Z
157,US East,B4pls v2 Spot,1,0.02975,0.02975,2023-09-01T00:00:00Z
158,US East,F48alds v6 Spot,1,0.85075,0.85075,2024-01-01T00:00:00Z
159,US East,M8-4ms Spot,1,0.15365,0.15365,2023-08-01T00:00:00Z
160,US East,ND96asr v4 Spot,1,4.136664,4.136664,2024-01-01T00:00:00Z
161,US East,Standard_E32ps_v5 Spot,8,0.32084,0.08010500000000001,2024-01-01T00:00:00Z
162,US East,E32-16s v5 Spot,1,0.2016,0.2016,2024-01-01T00:00:00Z
163,US East,Standard_D48pls_v5 Spot,8,0.39936,0.08992,2024-01-01T00:00:00Z
164,US East,Standard_L8s_v3 Spot,4,0.0696,0.0374,2023-11-01T00:00:00Z
165,US East,Standard_M176s_3_v3 Spot,8,6.495,0.851875,2023-11-01T00:00:00Z
166,US East,Standard_EC48as_cc_v5 Spot,8,0.678,0.12475,2023-09-01T00:00:00Z
167,US East,D14 v2 Spot,1,0.343671,0.343671,2024-01-01T00:00:00Z
168,US East,E48s v3 Spot,1,0.3024,0.3024,2024-01-01T00:00:00Z
169,US East,Standard_E4bs_v5 Spot,2,0.0298,0.0249,2024-01-01T00:00:00Z
170,US East,E16s v5 Spot,1,0.1008,0.1008,2024-01-01T00:00:00Z
171,US East,Standard_E112ibs_v5 Spot,8,1.563403,0.23542537500000002,2024-01-01T00:00:00Z
172,US East,M64ls Spot,1,0.8359,0.8359,2023-08-01T00:00:00Z
173,US East,Standard_EC32as_v5 Spot,8,1.240107,0.19501337500000002,2024-01-01T00:00:00Z
174,US East,D32a v4 Spot,1,0.1536,0.1536,2022-07-01T00:00:00Z
175,US East,Standard_DC16as_v5 Spot,4,0.976864,0.264216,2024-01-01T00:00:00Z
176,US East,M64 Spot,1,0.6669,0.6669,2023-08-01T00:00:00Z
177,US East,Standard_E64bs_v5 Spot,8,0.4768,0.0996,2024-01-01T00:00:00Z
178,US East,DS11-1 v2 Spot,1,0.042979,0.042979,2024-01-01T00:00:00Z
179,US East,E32-8as v5 Spot,1,0.1808,0.1808,2022-11-01T00:00:00Z
180,US East,Standard_D32plds_v5 Spot,8,0.280904,0.075113,2024-01-01T00:00:00Z
181,US East,Standard_NC24ads_A100_v4 Spot,2,0.488509,0.2542545,2024-01-01T00:00:00Z
182,US East,ND6s Spot,1,0.207,0.207,2023-02-01T00:00:00Z
183,US East,E8-2ads v5 Spot,1,0.0524,0.0524,2022-11-01T00:00:00Z
184,US East,D16s v4 Spot,1,0.164086,0.164086,2024-01-01T00:00:00Z
185,US East,H8 Spot,1,0.251524,0.251524,2023-07-01T00:00:00Z
186,US East,B8s v2 Spot,1,0.0925,0.0925,2023-09-01T00:00:00Z
187,US East,NDmr40s v2 Spot,1,1.3818,1.3818,2024-01-01T00:00:00Z
188,US East,Standard_D16ps_v5 Spot,4,0.0616,0.0354,2023-06-01T00:00:00Z
189,US East,Standard_D48plds_v5 Spot,8,0.421304,0.092663,2024-01-01T00:00:00Z
190,US East,E2ads v5 Spot,1,0.0131,0.0131,2022-11-01T00:00:00Z
191,US East,Standard_EC64ads_v5 Spot,8,4.895296,0.651912,2024-01-01T00:00:00Z
192,US East,E32ads_v6 Spot,1,0.50325,0.50325,2024-01-01T00:00:00Z
193,US East,HC44rs Spot,1,0.5192,0.5192,2023-08-01T00:00:00Z
194,US East,D48as_v6 Spot,1,0.4955,0.4955,2023-12-01T00:00:00Z
195,US East,E32-16as v5 Spot,1,0.328,0.328,2023-11-01T00:00:00Z
196,US East,Standard_EC32ads_cc_v5 Spot,1,0.524,0.524,2023-09-01T00:00:00Z
197,US East,NC12s v2 Spot,1,0.414,0.414,2023-04-01T00:00:00Z
198,US East,F64ads v6 Spot,1,2.0975,2.0975,2024-01-01T00:00:00Z
199,US East,Standard_EC20ads_cc_v5 Spot,1,0.3275,0.3275,2023-09-01T00:00:00Z
200,US East,Standard_D4pls_v5 Spot,2,0.0136,0.0168,2023-06-01T00:00:00Z
201,US East,Standard_D96s_v5 Spot,8,0.4608,0.09759999999999999,2024-01-01T00:00:00Z
202,US East,Standard_E2pds_v5 Spot,2,0.021528,0.020763999999999998,2024-01-01T00:00:00Z
203,US East,E64s v5 Spot,1,0.4032,0.4032,2024-01-01T00:00:00Z
204,US East,Standard_E16bds_v5 Spot,8,0.226055,0.068256875,2024-01-01T00:00:00Z
205,US East,HX176-24rs Spot,1,2.16,2.16,2023-09-01T00:00:00Z
206,US East,E64as_v6 Spot,1,1.60325,1.60325,2024-01-01T00:00:00Z
207,US East,Standard_EC64ads_v5 Spot,8,2.874874,0.39935925,2024-01-01T00:00:00Z
208,US East,D48 v4 Spot,1,0.2304,0.2304,2024-01-01T00:00:00Z
209,US East,H8m Spot,1,0.1211,0.1211,2022-03-01T00:00:00Z
210,US East,DS1 Spot,1,0.0077,0.0077,2023-09-01T00:00:00Z
211,US East,Standard_D4as_v5 Spot,2,0.0172,0.0186,2022-11-01T00:00:00Z
212,US East,E4ads_v6 Spot,1,0.109,0.109,2024-01-01T00:00:00Z
213,US East,D2 v4 Spot,1,0.0096,0.0096,2024-01-01T00:00:00Z
214,US East,Standard_E2ps_v5 Spot,2,0.020072,0.020035999999999998,2024-01-01T00:00:00Z
215,US East,E4as v4 Spot,1,0.0436,0.0436,2023-09-01T00:00:00Z
216,US East,M16ms Spot,1,0.3073,0.3073,2023-08-01T00:00:00Z
217,US East,E4-2s v5 Spot,1,0.047568,0.047568,2024-01-01T00:00:00Z
218,US East,D13 Spot,1,0.1056,0.1056,2023-10-01T00:00:00Z
219,US East,NC12 Spot,1,0.18,0.18,2023-11-01T00:00:00Z
220,US East,Standard_E8d_v5 Spot,4,0.0576,0.0344,2024-01-01T00:00:00Z
221,US East,F32amds v6 Spot,1,0.8615,0.8615,2024-01-01T00:00:00Z
222,US East,E32s v3 Spot,1,0.2016,0.2016,2024-01-01T00:00:00Z
223,US East,B4ls v2 Spot,1,0.03675,0.03675,2023-09-01T00:00:00Z
224,US East,M416-104ms_v2 Spot,1,9.915,9.915,2023-08-01T00:00:00Z
225,US East,Standard_D4d_v5 Spot,2,0.0226,0.0213,2024-01-01T00:00:00Z
226,US East,Standard_D48as_v5 Spot,8,0.2064,0.0658,2022-11-01T00:00:00Z
227,US East,HC44-16rs Spot,1,0.5192,0.5192,2023-08-01T00:00:00Z
228,US East,F32as v6 Spot,1,0.936,0.936,2023-12-01T00:00:00Z
229,US East,D96a v4 Spot,1,0.4608,0.4608,2022-07-01T00:00:00Z
230,US East,F32amds v6 Spot,1,1.2295,1.2295,2024-01-01T00:00:00Z
231,US East,Standard_E96bs_v5 Spot,8,0.7152,0.1294,2024-01-01T00:00:00Z
232,US East,M128-32ms Spot,1,3.5814,3.5814,2023-08-01T00:00:00Z
233,US East,Standard_DC16ads_cc_v5 Spot,8,0.206,0.06575,2023-09-01T00:00:00Z
234,US East,L48s v2 Spot,1,0.3744,0.3744,2023-08-01T00:00:00Z
235,US East,Standard_E8bds_v5 Spot,4,0.0668,0.036699999999999997,2024-01-01T00:00:00Z
236,US East,F4as v6 Spot,1,0.071,0.071,2023-12-01T00:00:00Z
237,US East,Standard_EC4ads_cc_v5 Spot,4,0.0655,0.036375000000000005,2023-09-01T00:00:00Z
238,US East,Standard_L32s_v3 Spot,8,0.2784,0.0748,2023-11-01T00:00:00Z
239,US East,HB60-45rs Spot,1,0.228,0.228,2023-05-01T00:00:00Z
240,US East,F2amds v6 Spot,1,0.05375,0.05375,2024-01-01T00:00:00Z
241,US East,Standard_FX12mds Spot,4,0.1668,0.061700000000000005,2023-10-01T00:00:00Z
242,US East,D2 Spot,1,0.028,0.028,2023-10-01T00:00:00Z
243,US East,ND96amsA100v4 Spot,1,7.288456,7.288456,2024-01-01T00:00:00Z
244,US East,D2a v4 Spot,1,0.0188,0.0188,2023-09-01T00:00:00Z
245,US East,E16as v4 Spot,1,0.1744,0.1744,2023-09-01T00:00:00Z
246,US East,E16a v4 Spot,1,0.1008,0.1008,2022-07-01T00:00:00Z
247,US East,PB24s Spot,1,0.486198,0.486198,2023-07-01T00:00:00Z
248,US East,M128ms_v2 Spot,1,2.6269,2.6269,2023-08-01T00:00:00Z
249,US East,HB176-24rsv4 Spot,1,3.824,3.824,2023-09-01T00:00:00Z
250,US East,Standard_EC20ads_v5 Spot,8,1.52978,0.2312225,2024-01-01T00:00:00Z
251,US East,Standard_M96s_1_v3 Spot,8,2.335,0.331875,2023-11-01T00:00:00Z
252,US East,E8ads_v6 Spot,1,0.12575,0.12575,2024-01-01T00:00:00Z
253,US East,E112iads v5 Spot,1,1.3222,1.3222,2023-11-01T00:00:00Z
254,US East,M208s v2 Spot,1,2.231,2.231,2023-08-01T00:00:00Z
255,US East,E16-4ds v5 Spot,1,0.205981,0.205981,2024-01-01T00:00:00Z
256,US East,B16als v2 Spot,1,0.1515,0.1515,2023-09-01T00:00:00Z
257,US East,E4-2s v3 Spot,1,0.047568,0.047568,2024-01-01T00:00:00Z
258,US East,E16-8as_v4 Spot,1,0.1008,0.1008,2022-07-01T00:00:00Z
259,US East,NV24 Spot,1,0.456,0.456,2022-02-01T00:00:00Z
260,US East,Standard_M96s_2_v3 Spot,8,4.2175,0.5671875000000001,2023-11-01T00:00:00Z
261,US East,Standard_L48as_v3 Spot,8,0.3744,0.0868,2023-07-01T00:00:00Z
262,US East,D2as_v6 Spot,1,0.02065,0.02065,2023-12-01T00:00:00Z
